,school_years,mortality_5,poverty_percentage,ferr_rate
279,12.17905,17.3767,1.5,90.001
280,12.07783,18.1327,1.8,91.278
281,11.99924,19.0087,1.9,91.858
282,10.76463,21.6489,3.2,89.208
283,10.58674,22.5587,2.8,87.164
284,10.46031,23.4383,4.5,86.874
285,10.30025,24.3833,6.2,87.349
286,10.31495,25.4429,5.8,88.523
287,10.23153,29.5908,11.7,88.773
288,10.21706,31.3178,9.8,91.5
289,11.56521,16.1092,0.8,70.115
290,11.55019,16.8037,0.9,70.62
291,11.64762,17.5868,1.1,70.643
292,11.64163,18.5905,1.3,70.951
293,11.57363,19.4296,1.6,70.912
294,11.48111,20.913,2.0,72.071
295,11.49441,21.5762,2.0,73.788
296,12.15198,22.6155,1.3,76.217
297,11.65685,23.8251,2.2,77.46
298,11.67184,25.4365,4.3,80.265
299,11.51949,26.5497,5.2,82.695
300,11.26385,28.4953,8.0,86.67
301,10.96831,29.6611,6.6,92.917
302,10.73174,32.5268,6.3,100.786
303,10.55446,33.1972,5.4,107.896
304,10.22422,35.1933,9.3,113.604
305,10.36332,38.223,11.6,118.018
306,8.38563,62.7512,10.8,122.632
307,8.50389,77.1678,11.2,123.41
308,12.38256,3.4181,0.6,16.371
309,12.37463,4.5837,0.4,16.332
310,12.37268,4.1266,0.6,17.428
311,12.36402,5.1062,0.4,19.482
312,12.27206,5.1495,0.3,22.74
313,12.21536,6.5808,0.2,25.163
314,12.14637,6.5447,0.3,25.84
315,12.09255,6.3049,0.5,23.587
316,12.11855,8.1658,0.3,22.504
317,11.98926,8.7803,0.6,22.436
318,11.90821,9.4418,1.3,22.042
319,7.82389,82.1373,8.1,100.744
320,5.60519,115.4183,7.6,135.105
321,3.86969,147.9981,17.5,153.005
322,2.45896,172.1933,27.9,152.086
323,12.54494,23.8886,0.1,40.989
324,12.12643,22.3735,0.3,40.954
325,14.45893,2.7079,0.0,7.254
326,14.37654,2.2141,0.1,7.475
327,12.43856,3.0232,0.0,7.648
328,12.40673,2.977,0.0,7.806
329,12.38858,2.9116,0.0,8.295
330,12.39004,3.1549,0.0,8.32
331,12.45559,3.3453,0.0,8.491
332,12.51955,3.516,0.0,8.735
333,12.55906,3.3432,0.1,9.133
334,12.6012,4.1684,0.0,9.921
335,12.56388,4.1695,0.0,10.495
336,13.9007,3.9546,0.0,10.624
337,13.63575,4.3912,0.0,9.699
338,12.95816,4.8384,0.0,9.919
339,12.79245,6.9259,0.0,11.478
340,12.4974,7.5138,0.0,12.536
341,13.03914,4.1154,0.0,9.074
342,13.06521,4.28,0.0,9.397
343,13.13173,4.152,0.0,10.038
344,13.15945,4.0149,0.0,10.331
